Categoria: Todas as categorias

Mês,gripe: (Mundo)
2004-01,4
2004-02,5
2004-03,4
2004-04,3
2004-05,4
2004-06,3
2004-07,2
2004-08,3
2004-09,3
2004-10,3
2004-11,3
2004-12,3
2005-01,4
2005-02,3
2005-03,3
2005-04,4
2005-05,3
2005-06,3
2005-07,2
2005-08,3
2005-09,4
2005-10,19
2005-11,13
2005-12,5
2006-01,6
2006-02,10
2006-03,15
2006-04,9
2006-05,7
2006-06,5
2006-07,4
2006-08,3
2006-09,4
2006-10,4
2006-11,4
2006-12,3
2007-01,4
2007-02,4
2007-03,4
2007-04,4
2007-05,4
2007-06,4
2007-07,3
2007-08,3
2007-09,3
2007-10,4
2007-11,3
2007-12,3
2008-01,4
2008-02,3
2008-03,3
2008-04,4
2008-05,4
2008-06,4
2008-07,3
2008-08,3
2008-09,3
2008-10,4
2008-11,3
2008-12,4
2009-01,4
2009-02,3
2009-03,4
2009-04,62
2009-05,66
2009-06,49
2009-07,85
2009-08,100
2009-09,39
2009-10,25
2009-11,28
2009-12,12
2010-01,7
2010-02,6
2010-03,15
2010-04,18
2010-05,11
2010-06,7
2010-07,5
2010-08,5
2010-09,4
2010-10,5
2010-11,5
2010-12,4
2011-01,6
2011-02,5
2011-03,6
2011-04,6
2011-05,6
2011-06,6
2011-07,4
2011-08,5
2011-09,4
2011-10,5
2011-11,5
2011-12,4
2012-01,5
2012-02,6
2012-03,6
2012-04,5
2012-05,8
2012-06,8
2012-07,10
2012-08,6
2012-09,6
2012-10,5
2012-11,5
2012-12,4
2013-01,6
2013-02,7
2013-03,6
2013-04,10
2013-05,10
2013-06,11
2013-07,9
2013-08,8
2013-09,6
2013-10,6
2013-11,5
2013-12,5
2014-01,10
2014-02,7
2014-03,6
2014-04,8
2014-05,9
2014-06,7
2014-07,6
2014-08,7
2014-09,6
2014-10,7
2014-11,6
2014-12,6
2015-01,7
2015-02,7
2015-03,7
2015-04,7
2015-05,12
2015-06,8
2015-07,7
2015-08,6
2015-09,6
2015-10,7
2015-11,7
2015-12,7
2016-01,6
2016-02,8
2016-03,10
2016-04,16
2016-05,14
2016-06,12
2016-07,7
2016-08,6
2016-09,7
2016-10,7
2016-11,7
2016-12,7
2017-01,9
2017-02,8
2017-03,8
2017-04,10
2017-05,12
2017-06,11
2017-07,8
2017-08,7
2017-09,7
2017-10,8
2017-11,8
2017-12,8
2018-01,11
2018-02,9
2018-03,9
2018-04,13
2018-05,14
2018-06,11
2018-07,9
2018-08,8
2018-09,8
2018-10,8
2018-11,8
2018-12,8
2019-01,10
2019-02,10
2019-03,9
2019-04,13
2019-05,14
2019-06,13
2019-07,10
2019-08,9
2019-09,9
2019-10,9
2019-11,9
2019-12,9
2020-01,12
2020-02,17
2020-03,54
2020-04,28
2020-05,21
2020-06,15
2020-07,14
2020-08,12
2020-09,11
2020-10,14
2020-11,12
2020-12,11
2021-01,11
2021-02,10
2021-03,12
2021-04,17
2021-05,20
2021-06,18
2021-07,19
2021-08,13
2021-09,10
2021-10,12
2021-11,14
2021-12,29
2022-01,36
2022-02,11
2022-03,15
2022-04,20
2022-05,20
2022-06,21
2022-07,16
2022-08,13
2022-09,13
2022-10,14
2022-11,17
2022-12,17
2023-01,11
2023-02,14
2023-03,16
2023-04,18
2023-05,20
2023-06,17
2023-07,13
2023-08,11
2023-09,12
2023-10,11
